Time,Temp. (Degree Celcius)
24-Jul-2017 05:00 pm to 24-Jul-2017 06:00 pm,28.81
24-Jul-2017 06:00 pm to 24-Jul-2017 07:00 pm,28.63
24-Jul-2017 07:00 pm to 24-Jul-2017 08:00 pm,28.58
24-Jul-2017 08:00 pm to 24-Jul-2017 09:00 pm,28.52
24-Jul-2017 09:00 pm to 24-Jul-2017 10:00 pm,28.11
24-Jul-2017 10:00 pm to 24-Jul-2017 11:00 pm,28.5
24-Jul-2017 11:00 pm to 25-Jul-2017 12:00 am,28.12
25-Jul-2017 12:00 am to 25-Jul-2017 01:00 am,28.9
25-Jul-2017 01:00 am to 25-Jul-2017 02:00 am,29.15
25-Jul-2017 02:00 am to 25-Jul-2017 03:00 am,29.18
25-Jul-2017 03:00 am to 25-Jul-2017 04:00 am,28.85
25-Jul-2017 04:00 am to 25-Jul-2017 05:00 am,28.66
25-Jul-2017 05:00 am to 25-Jul-2017 06:00 am,29.36
25-Jul-2017 06:00 am to 25-Jul-2017 07:00 am,29.64
25-Jul-2017 07:00 am to 25-Jul-2017 08:00 am,30.42
25-Jul-2017 08:00 am to 25-Jul-2017 09:00 am,30.06
25-Jul-2017 09:00 am to 25-Jul-2017 10:00 am,29.83
25-Jul-2017 10:00 am to 25-Jul-2017 11:00 am,NA
25-Jul-2017 11:00 am to 25-Jul-2017 12:00 pm,NA
25-Jul-2017 12:00 pm to 25-Jul-2017 01:00 pm,31.82
25-Jul-2017 01:00 pm to 25-Jul-2017 02:00 pm,32.09
25-Jul-2017 02:00 pm to 25-Jul-2017 03:00 pm,32.4
25-Jul-2017 03:00 pm to 25-Jul-2017 04:00 pm,32.67
25-Jul-2017 04:00 pm to 25-Jul-2017 05:00 pm,32.49
25-Jul-2017 05:00 pm to 25-Jul-2017 06:00 pm,32.2
25-Jul-2017 06:00 pm to 25-Jul-2017 07:00 pm,31.55
25-Jul-2017 07:00 pm to 25-Jul-2017 08:00 pm,31.07
25-Jul-2017 08:00 pm to 25-Jul-2017 09:00 pm,30.96
25-Jul-2017 09:00 pm to 25-Jul-2017 10:00 pm,30.73
25-Jul-2017 10:00 pm to 25-Jul-2017 11:00 pm,30.1
25-Jul-2017 11:00 pm to 26-Jul-2017 12:00 am,29.86
26-Jul-2017 12:00 am to 26-Jul-2017 01:00 am,29.77
26-Jul-2017 01:00 am to 26-Jul-2017 02:00 am,29.51
26-Jul-2017 02:00 am to 26-Jul-2017 03:00 am,30.73
26-Jul-2017 03:00 am to 26-Jul-2017 04:00 am,29.96
26-Jul-2017 04:00 am to 26-Jul-2017 05:00 am,28.51
26-Jul-2017 05:00 am to 26-Jul-2017 06:00 am,27.21
